id,category,superclass,marker,affirmative,negated
4663,Conditional negation,Clausal / discourse,unless,"If you leave, the contract will end.","Unless you leave, the contract will end."
4664,Sentential negative quantifiers,Negative quantifiers,nothing,Something was flagged at the conference.,Nothing was flagged at the conference.
4665,Copula,Particle,isn't,The chef is audible.,The chef isn't audible.
4666,Negative imperatives,Clausal / discourse,never,Always forward this email in this area.,Never forward this email in this area.
4667,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people showed interest.,Merely the sponsor showed interest.
4668,Partial negation,Negative quantifiers,not every,Every pilot is registered.,Not every pilot is registered.
4669,Affixial negation,Affixial,unlikely,The firm is likely.,The firm is unlikely.
4670,Sentential negative quantifiers,Negative quantifiers,none,Some of the prototypes were archived successfully.,None of the prototypes were archived successfully.
4671,Negative imperatives,Clausal / discourse,don't,Please copy the file without authorization.,Don't copy the file without authorization.
4672,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The participants are worried.,"The participants are not worried, the participants are panicked."
4673,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The library is new.,"The library is not new, the library is brand-new."
4674,Negative imperatives,Clausal / discourse,no + gerund,Smoking here in this area is allowed.,No smoking here in this area.
4675,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody agreed with the decision by mistake.,Nobody agreed with the decision by mistake.
4676,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody recognized the symptoms yesterday.,Nobody recognized the symptoms yesterday.
4677,Do-support auxiliary,Particle,did not,The student trusted the plan.,The student did not trust the plan.
4678,Approximate negators,Scalar / restrictive,scarcely ever,The tourists often arrive on time.,The tourists scarcely ever arrive on time.
4679,Modals,Particle,mustn't,The professor must attend the meeting.,The professor mustn't attend the meeting.
4680,Inherent negative verbs/adjectives,Lexical negation,denied,The doctors accepted responsibility.,The doctors denied responsibility.
4681,Exceptors,Negative quantifiers,except,Everyone is present.,Everyone is present except the acting chair.
4682,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The tourist still visits the clinic.,The tourist has ceased visiting the clinic.
4683,Modals,Particle,would not,The lawyer would understand the question.,The lawyer would not understand the question.
4684,Modals,Particle,must not,The battery must overheat under load.,The battery must not overheat under load.
4685,Restrictive/exclusive particles,Scalar / restrictive,only,Several people came to the meeting.,Only the observer came to the meeting.
4686,Prepositional negation,Lexical negation,without,The shipment has a tracking number.,The shipment is without a tracking number.
4687,Neg-raising,Clausal / discourse,doesn't believe,She believes that the data is reliable.,She doesn't believe the data is reliable.
4688,Conditional negation,Clausal / discourse,unless,"If you follow the instructions, the membership will lapse.","Unless you follow the instructions, the membership will lapse."
4689,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The scientist still drinks coffee daily.,The scientist has ceased drinking coffee daily.
4690,Approximate negators,Scalar / restrictive,barely ever,The witnesses often work on weekends.,The witnesses barely ever work on weekends.
4691,Do-support auxiliary,Particle,did not,The lawyers worked on weekends.,The lawyers did not work on weekends.
4692,Inherent negative verbs/adjectives,Lexical negation,denied,The lawyers confirmed the delivery.,The lawyers denied the delivery.
4693,Aspectual/presuppositional negation,Clausal / discourse,no longer,The supervisor still drinks coffee daily.,The supervisor no longer drinks coffee daily.
4694,Modals,Particle,cannot,The engine can exceed capacity.,The engine cannot exceed capacity.
4695,Neg-raising,Clausal / discourse,don't think,They think that the vendor will deliver.,They don't think the vendor will deliver.
4696,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The nurse is interested.,"The nurse is not interested, the nurse is fascinated."
4697,Prepositional negation,Lexical negation,without,The trip has travel insurance.,The trip is without travel insurance.
4698,Approximate negators,Scalar / restrictive,hardly ever,The visitors often confirm the appointment.,The visitors hardly ever confirm the appointment.
4699,Prepositional negation,Lexical negation,without,The product has a warranty.,The product is without a warranty.
4700,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The doctor still hosts the podcast.,The doctor has stopped hosting the podcast.
4701,Sentential negative quantifiers,Negative quantifiers,no one,Somebody accepted the offer during the meeting.,No one accepted the offer during the meeting.
4702,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The platform is loud.,"The platform is not loud, the platform is deafening."
4703,Conditional negation,Clausal / discourse,unless,"If you approve the request, the meeting will be rescheduled.","Unless you approve the request, the meeting will be rescheduled."
4704,Do-support auxiliary,Particle,did not,The vendors understood the question.,The vendors did not understand the question.
4705,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The chef still reads the newspaper.,The chef has stopped reading the newspaper.
4706,Exceptors,Negative quantifiers,except,Every shipment is accounted for.,Every shipment is accounted for except the retired device.
4707,Do-support auxiliary,Particle,didn't,The artist reviewed the contract.,The artist didn't review the contract.
4708,Correlative negation,Negative quantifiers,neither...nor,Both the technician and the specialist are informed.,Neither the technician nor the specialist is informed.
4709,Neg-raising,Clausal / discourse,don't expect,We expect that the system is secure.,We don't expect the system is secure.
4710,Approximate negators,Scalar / restrictive,hardly ever,The officers often understand the question.,The officers hardly ever understand the question.
4711,Do-support auxiliary,Particle,did not,The teacher liked the proposal.,The teacher did not like the proposal.
4712,Approximate negators,Scalar / restrictive,hardly ever,The nurses often like the proposal.,The nurses hardly ever like the proposal.
4713,Exceptors,Negative quantifiers,but for,Every shipment is accounted for.,Every shipment is accounted for but for the older version.
4714,Conditional negation,Clausal / discourse,unless,"If you apologize, the ticket will be closed.","Unless you apologize, the ticket will be closed."
4715,Negative imperatives,Clausal / discourse,don't,Please access this area on site.,Don't access this area on site.
4716,Modals,Particle,must not,The workers must approve the budget.,The workers must not approve the budget.
4717,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The chef still uses the old system.,The chef has ceased using the old system.
4718,Double negation / negative concord,Double negation,not inadequate,The committee is adequate.,The committee is not inadequate.
4719,Conditional negation,Clausal / discourse,unless,"If you apologize, the shipment will be returned.","Unless you apologize, the shipment will be returned."
4720,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The vendors are weak.,"The vendors are not weak, the vendors are frail."
4721,Double negation / negative concord,Double negation,ain't...no,She has some doubt.,She ain't got no doubt.
4722,Inherent negative verbs/adjectives,Lexical negation,opposed,The patients supported the plan.,The patients opposed the plan.
4723,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The lobby is slow.,"The lobby is not slow, the lobby is sluggish."
4724,Copula,Particle,isn't,The recipe is transparent.,The recipe isn't transparent.
4725,Correlative negation,Negative quantifiers,neither...nor,Both the battery and the charger are installed.,Neither the battery nor the charger is installed.
4726,Copula,Particle,are not,The athletes are available.,The athletes are not available.
4727,Conditional negation,Clausal / discourse,unless,"If you confirm your identity, the contract will end.","Unless you confirm your identity, the contract will end."
4728,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The editor is weak.,"The editor is not weak, the editor is frail."
4729,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The consultant still travels for business.,The consultant has stopped traveling for business.
4730,Conditional negation,Clausal / discourse,unless,"If you return the item, the ticket will be closed.","Unless you return the item, the ticket will be closed."
4731,Affixial negation,Affixial,inconvenient,The speech is convenient.,The speech is inconvenient.
4732,Modals,Particle,will not,The intern will eat vegetables.,The intern will not eat vegetables.
4733,Double negation / negative concord,Double negation,not incapable,The customer is capable.,The customer is not incapable.
4734,Affixial negation,Affixial,illegal,The contract is legal.,The contract is illegal.
4735,Inherent negative verbs/adjectives,Lexical negation,rejected,The managers approved the design.,The managers rejected the design.
4736,Do-support auxiliary,Particle,did not,The professors remembered the address.,The professors did not remember the address.
4737,Neg-raising,Clausal / discourse,don't think,We think that the software is stable.,We don't think the software is stable.
4738,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The interns are busy.,"The interns are not busy, the interns are overwhelmed."
4739,Correlative negation,Negative quantifiers,neither...nor,Both the farmer and the merchant are certified.,Neither the farmer nor the merchant is certified.
4740,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people confirmed attendance.,Merely the observer confirmed attendance.
4741,Inherent negative verbs/adjectives,Lexical negation,doubted,The tourists verified the source.,The tourists doubted the source.
4742,Negative imperatives,Clausal / discourse,no + gerund,Bringing outside food into the gallery is allowed.,No bringing outside food into the gallery.
4743,Restrictive/exclusive particles,Scalar / restrictive,just,Several people took part.,Just the representative took part.
4744,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The tourist still smokes.,The tourist has stopped smoking.
4745,Double negation / negative concord,Double negation,not uncommon,The stadium is common.,The stadium is not uncommon.
4746,Exceptors,Negative quantifiers,other than,Every report is accounted for.,Every report is accounted for other than the temporary file.
4747,Partial negation,Negative quantifiers,not every,Every engine is complete.,Not every engine is complete.
4748,Exceptors,Negative quantifiers,besides,Every component is accounted for.,Every component is accounted for besides the placeholder entry.
4749,Negative imperatives,Clausal / discourse,never,Always climb the fence on the premises.,Never climb the fence on the premises.
4750,Copula,Particle,is not,The machine is available.,The machine is not available.
4751,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The consultant is happy.,"The consultant is not happy, the consultant is ecstatic."
4752,Affixial negation,Affixial,immature,The professors are mature.,The professors are immature.
4753,Copula,Particle,isn't,The parking lot is comfortable.,The parking lot isn't comfortable.
4754,Negative imperatives,Clausal / discourse,never,Always leave the door open inside the lab.,Never leave the door open inside the lab.
4755,Correlative negation,Negative quantifiers,neither...nor,Both the elevator and the escalator are available.,Neither the elevator nor the escalator is available.
4756,Copula,Particle,isn't,The engine is complete.,The engine isn't complete.
4757,Approximate negators,Scalar / restrictive,barely ever,The tourists often review the contract.,The tourists barely ever review the contract.
4758,Inherent negative verbs/adjectives,Lexical negation,was,The scientists obtained approval.,The scientists was denied approval.
4759,Copula,Particle,is not,The router is available.,The router is not available.
4760,Negative imperatives,Clausal / discourse,no + gerund,Propping the door open in the workshop is allowed.,No propping the door open in the workshop.
4761,Approximate negators,Scalar / restrictive,hardly ever,The patients often need any help.,The patients hardly ever need any help.
4762,Modals,Particle,can't,The applicants can enjoy the concert.,The applicants can't enjoy the concert.
4763,Do-support auxiliary,Particle,didn't,The interns enjoyed the concert.,The interns didn't enjoy the concert.
4764,Aspectual/presuppositional negation,Clausal / discourse,no longer,The coordinator still writes a blog.,The coordinator no longer writes a blog.
4765,Neg-raising,Clausal / discourse,don't believe,They believe that the schedule will hold.,They don't believe the schedule will hold.
4766,Copula,Particle,isn't,The camera is visible.,The camera isn't visible.
4767,Double negation / negative concord,Double negation,not incomplete,The invoice is complete.,The invoice is not incomplete.
4768,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The train is small.,"The train is not small, the train is tiny."
4769,Inherent negative verbs/adjectives,Lexical negation,lost,The supervisor maintained contact.,The supervisor lost contact.
4770,Copula,Particle,is not,The speech is useful.,The speech is not useful.
4771,Sentential negative quantifiers,Negative quantifiers,no one,Somebody handled the situation during rehearsal.,No one handled the situation during rehearsal.
4772,Negative imperatives,Clausal / discourse,no + gerund,Accessing this area near the entrance is allowed.,No accessing this area near the entrance.
4773,Double negation / negative concord,Double negation,not insecure,The laboratory is secure.,The laboratory is not insecure.
4774,Double negation / negative concord,Double negation,not inadequate,The bank is adequate.,The bank is not inadequate.
4775,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The chef still plays tennis.,The chef has ceased playing tennis.
4776,Modals,Particle,will not,The intern will respect the rules.,The intern will not respect the rules.
4777,Prepositional negation,Lexical negation,devoid of,The vehicle has insurance.,The vehicle is devoid of insurance.
4778,Approximate negators,Scalar / restrictive,rarely,The employees often know the answer.,The employees rarely know the answer.
4779,Partial negation,Negative quantifiers,not all,All prototypes are current.,Not all prototypes are current.
4780,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The professor still uses the old system.,The professor has stopped using the old system.
4781,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The artist still drinks coffee daily.,The artist has stopped drinking coffee daily.
4782,Prepositional negation,Lexical negation,without,The model has training data.,The model is without training data.
4783,Neg-raising,Clausal / discourse,don't suppose,They suppose that the team is ready.,They don't suppose the team is ready.
4784,Affixial negation,Affixial,inconvenient,The ministry is convenient.,The ministry is inconvenient.
4785,Prepositional negation,Lexical negation,minus,The software has updates.,The software is minus updates.
4786,Affixial negation,Affixial,ineffective,The application is effective.,The application is ineffective.
4787,Affixial negation,Affixial,inconsistent,The memo is consistent.,The memo is inconsistent.
4788,Aspectual/presuppositional negation,Clausal / discourse,no longer,The customer still smokes.,The customer no longer smokes.
4789,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people signed the form.,Merely the coordinator signed the form.
4790,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The interns are sad.,"The interns are not sad, the interns are devastated."
4791,Approximate negators,Scalar / restrictive,rarely,The students often follow the instructions.,The students rarely follow the instructions.
4792,Correlative negation,Negative quantifiers,neither...nor,Both the officer and the inspector are trained.,Neither the officer nor the inspector is trained.
4793,Negative imperatives,Clausal / discourse,never,Always use flash photography in the gallery.,Never use flash photography in the gallery.
4794,Conditional negation,Clausal / discourse,unless,"If you complete the training, the contract will end.","Unless you complete the training, the contract will end."
4795,Partial negation,Negative quantifiers,not all,All proposals are calibrated.,Not all proposals are calibrated.
4796,Modals,Particle,won't,The analyst will accept the offer.,The analyst won't accept the offer.
4797,Neg-raising,Clausal / discourse,doesn't believe,She believes that the schedule will hold.,She doesn't believe the schedule will hold.
4798,Modals,Particle,mustn't,The scanner must handle heavy load.,The scanner mustn't handle heavy load.
4799,Exceptors,Negative quantifiers,except,Every teacher is present.,Every teacher is present except the temporary staff.
4800,Prepositional negation,Lexical negation,without,The software has updates.,The software is without updates.
4801,Neg-raising,Clausal / discourse,don't think,We think that the funding will continue.,We don't think the funding will continue.
4802,Neg-raising,Clausal / discourse,don't think,We think that the meeting will happen.,We don't think the meeting will happen.
4803,Prepositional negation,Lexical negation,free of,The trip has a return ticket.,The trip is free of a return ticket.
4804,Partial negation,Negative quantifiers,not every,Every platform is verified.,Not every platform is verified.
4805,Partial negation,Negative quantifiers,not every,Every server is complete.,Not every server is complete.
4806,Copula,Particle,is not,The article is available.,The article is not available.
4807,Approximate negators,Scalar / restrictive,rarely,The engineers often understand the question.,The engineers rarely understand the question.
4808,Do-support auxiliary,Particle,didn't,The doctor reviewed the contract.,The doctor didn't review the contract.
4809,Approximate negators,Scalar / restrictive,rarely,The participants often like the proposal.,The participants rarely like the proposal.
4810,Sentential negative quantifiers,Negative quantifiers,none,Some of the visitors confirmed attendance.,None of the visitors confirmed attendance.
4811,Copula,Particle,isn't,The basement is comfortable.,The basement isn't comfortable.
4812,Conditional negation,Clausal / discourse,unless,"If you provide feedback, the request will be denied.","Unless you provide feedback, the request will be denied."
4813,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The participants are happy.,"The participants are not happy, the participants are ecstatic."
4814,Negative imperatives,Clausal / discourse,don't,Please block the exit at the venue.,Don't block the exit at the venue.
4815,Conditional negation,Clausal / discourse,unless,"If you notify the manager, the offer will expire.","Unless you notify the manager, the offer will expire."
4816,Affixial negation,Affixial,unhappy,The patients are happy.,The patients are unhappy.
4817,Modals,Particle,mustn't,The employees must trust the plan.,The employees mustn't trust the plan.
4818,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The supervisor still writes a blog.,The supervisor has ceased writing a blog.
4819,Partial negation,Negative quantifiers,not every,Every printer is approved.,Not every printer is approved.
4820,Copula,Particle,isn't,The server is effective.,The server isn't effective.
4821,Negative imperatives,Clausal / discourse,no + gerund,Skipping the tutorial during the tour is allowed.,No skipping the tutorial during the tour.
4822,Neg-raising,Clausal / discourse,don't believe,We believe that the audit will pass.,We don't believe the audit will pass.
4823,Exceptors,Negative quantifiers,besides,Every device is accounted for.,Every device is accounted for besides the placeholder entry.
4824,Negative imperatives,Clausal / discourse,never,Always leave the door open on this floor.,Never leave the door open on this floor.
4825,Prepositional negation,Lexical negation,lacking,The interview has preparation.,The interview is lacking preparation.
4826,Negative imperatives,Clausal / discourse,never,Always skip the tutorial during the tour.,Never skip the tutorial during the tour.
4827,Restrictive/exclusive particles,Scalar / restrictive,only,Several people joined the call.,Only the moderator joined the call.
4828,Sentential negative quantifiers,Negative quantifiers,nothing,Something required approval before the deadline.,Nothing required approval before the deadline.
4829,Correlative negation,Negative quantifiers,neither...nor,Both the buyer and the seller are licensed.,Neither the buyer nor the seller is licensed.
4830,Prepositional negation,Lexical negation,lacking,The policy has exceptions.,The policy is lacking exceptions.
4831,Do-support auxiliary,Particle,didn't,The applicants followed the instructions.,The applicants didn't follow the instructions.
4832,Neg-raising,Clausal / discourse,don't suppose,I suppose that he will agree.,I don't suppose he will agree.
4833,Correlative negation,Negative quantifiers,neither...nor,Both the actor and the director are trained.,Neither the actor nor the director is trained.
4834,Copula,Particle,isn't,The technician is popular.,The technician isn't popular.
4835,Double negation / negative concord,Double negation,not impatient,The scientist is patient.,The scientist is not impatient.
4836,Restrictive/exclusive particles,Scalar / restrictive,just,Several people attended the ceremony.,Just the coordinator attended the ceremony.
4837,Double negation / negative concord,Double negation,not unhappy,The artist is happy.,The artist is not unhappy.
4838,Correlative negation,Negative quantifiers,neither...nor,Both the technician and the specialist are available.,Neither the technician nor the specialist is available.
4839,Negative imperatives,Clausal / discourse,no + gerund,Copying the file to a personal drive is allowed.,No copying the file to a personal drive.
4840,Do-support auxiliary,Particle,did not,The scientist knew the answer.,The scientist did not know the answer.
4841,Correlative negation,Negative quantifiers,neither...nor,Both the actor and the director are qualified.,Neither the actor nor the director is qualified.
4842,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The auditor still practices the piano.,The auditor has stopped practicing the piano.
4843,Neg-raising,Clausal / discourse,doesn't suppose,He supposes that the team is ready.,He doesn't suppose the team is ready.
4844,Inherent negative verbs/adjectives,Lexical negation,lost,The teachers maintained contact.,The teachers lost contact.
4845,Copula,Particle,is not,The analyst is transparent.,The analyst is not transparent.
4846,Negative imperatives,Clausal / discourse,no + gerund,Turning off the alarm near the equipment is allowed.,No turning off the alarm near the equipment.
4847,Partial negation,Negative quantifiers,not every,Every farmer is certified.,Not every farmer is certified.
4848,Sentential negative quantifiers,Negative quantifiers,nowhere,The receipt can be found somewhere in the room.,The receipt can be found nowhere in the room.
4849,Double negation / negative concord,Double negation,not inconvenient,The office is convenient.,The office is not inconvenient.
4850,Inherent negative verbs/adjectives,Lexical negation,failed,The school succeeded in arriving on time.,The school failed to arrive on time.
4851,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people qualified for the finals.,The negotiator alone qualified for the finals.
4852,Exceptors,Negative quantifiers,besides,Every driver is present.,Every driver is present besides the temporary staff.
4853,Exceptors,Negative quantifiers,but for,Every device is accounted for.,Every device is accounted for but for the rejected sample.
4854,Approximate negators,Scalar / restrictive,barely ever,The contestants often follow the instructions.,The contestants barely ever follow the instructions.
4855,Approximate negators,Scalar / restrictive,hardly ever,The volunteers often complete the assignment.,The volunteers hardly ever complete the assignment.
4856,Restrictive/exclusive particles,Scalar / restrictive,only,Several people received feedback.,Only John received feedback.
4857,Neg-raising,Clausal / discourse,don't suppose,They suppose that the system is secure.,They don't suppose the system is secure.
4858,Prepositional negation,Lexical negation,minus,The vehicle has airbags.,The vehicle is minus airbags.
4859,Exceptors,Negative quantifiers,besides,Every player is present.,Every player is present besides the disqualified entrant.
4860,Modals,Particle,can't,The tenants can agree with the decision.,The tenants can't agree with the decision.
4861,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The tenants are interested.,"The tenants are not interested, the tenants are fascinated."
4862,Conditional negation,Clausal / discourse,unless,"If you submit the application, the meeting will be rescheduled.","Unless you submit the application, the meeting will be rescheduled."
4863,Approximate negators,Scalar / restrictive,hardly ever,The employees often know the answer.,The employees hardly ever know the answer.
4864,Sentential negative quantifiers,Negative quantifiers,no one,Somebody accepted the offer this morning.,No one accepted the offer this morning.
4865,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The supervisor is strong.,"The supervisor is not strong, the supervisor is powerful."
4866,Modals,Particle,wouldn't,The actors would review the contract.,The actors wouldn't review the contract.
4867,Prepositional negation,Lexical negation,minus,The offer has a guarantee.,The offer is minus a guarantee.
4868,Double negation / negative concord,Double negation,not irresponsible,The tourist is responsible.,The tourist is not irresponsible.
4869,Affixial negation,Affixial,incapable,The witnesses are capable.,The witnesses are incapable.
4870,Modals,Particle,must not,The pilot must care about the outcome.,The pilot must not care about the outcome.
4871,Negative imperatives,Clausal / discourse,don't,Please open the door on this floor.,Don't open the door on this floor.
4872,Correlative negation,Negative quantifiers,neither...nor,Both the sensor and the camera are operational.,Neither the sensor nor the camera is operational.
4873,Correlative negation,Negative quantifiers,neither...nor,Both the author and the editor are insured.,Neither the author nor the editor is insured.
4874,Prepositional negation,Lexical negation,lacking,The design has flaws.,The design is lacking flaws.
4875,Correlative negation,Negative quantifiers,neither...nor,Both the server and the database are working.,Neither the server nor the database is working.
4876,Prepositional negation,Lexical negation,free of,The vehicle has a spare tire.,The vehicle is free of a spare tire.
4877,Exceptors,Negative quantifiers,other than,Every shipment is accounted for.,Every shipment is accounted for other than the temporary file.
4878,Aspectual/presuppositional negation,Clausal / discourse,no longer,The pilot still uses the old system.,The pilot no longer uses the old system.
4879,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The actor is happy.,"The actor is not happy, the actor is ecstatic."
4880,Sentential negative quantifiers,Negative quantifiers,nothing,Something stood out by mistake.,Nothing stood out by mistake.
4881,Copula,Particle,is not,The chip is efficient.,The chip is not efficient.
4882,Affixial negation,Affixial,insecure,The engine is secure.,The engine is insecure.
4883,Exceptors,Negative quantifiers,other than,Every member is present.,Every member is present other than the late arrival.
4884,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The technician still volunteers on weekends.,The technician has stopped volunteering on weekends.
4885,Conditional negation,Clausal / discourse,unless,"If you send the invoice, the flight will be missed.","Unless you send the invoice, the flight will be missed."
4886,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The printer is expensive.,"The printer is not expensive, the printer is priceless."
4887,Prepositional negation,Lexical negation,devoid of,The survey has anonymity.,The survey is devoid of anonymity.
4888,Negative imperatives,Clausal / discourse,never,Always swim here without a lifeguard.,Never swim here without a lifeguard.
4889,Approximate negators,Scalar / restrictive,few,Many patients signed the agreement.,Few patients signed the agreement.
4890,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody knew the answer at the office.,Nobody knew the answer at the office.
4891,Copula,Particle,is not,The witness is fair.,The witness is not fair.
4892,Conditional negation,Clausal / discourse,unless,"If you confirm the order, the shipment will be returned.","Unless you confirm the order, the shipment will be returned."
4893,Approximate negators,Scalar / restrictive,scarcely ever,The coaches often believe the rumor.,The coaches scarcely ever believe the rumor.
4894,Sentential negative quantifiers,Negative quantifiers,no one,Somebody confirmed the appointment during setup.,No one confirmed the appointment during setup.
4895,Do-support auxiliary,Particle,did not,The applicants finished the report.,The applicants did not finish the report.
4896,Inherent negative verbs/adjectives,Lexical negation,disregarded,The soldier valued the feedback.,The soldier disregarded the feedback.
4897,Do-support auxiliary,Particle,didn't,The editor ate vegetables.,The editor didn't eat vegetables.
4898,Sentential negative quantifiers,Negative quantifiers,no,A student is on the shelf.,No student is on the shelf.
4899,Correlative negation,Negative quantifiers,neither...nor,Both the author and the editor are invited.,Neither the author nor the editor is invited.
4900,Conditional negation,Clausal / discourse,unless,"If you cancel the subscription, the ticket will be closed.","Unless you cancel the subscription, the ticket will be closed."
4901,Conditional negation,Clausal / discourse,unless,"If you close the ticket, the deal will be canceled.","Unless you close the ticket, the deal will be canceled."
4902,Modals,Particle,must not,The managers must remember the address.,The managers must not remember the address.
4903,Neg-raising,Clausal / discourse,don't expect,I expect that the system is secure.,I don't expect the system is secure.
4904,Exceptors,Negative quantifiers,except,Every player is present.,Every player is present except the substitute.
4905,Conditional negation,Clausal / discourse,unless,"If you accept the terms, the membership will lapse.","Unless you accept the terms, the membership will lapse."
4906,Modals,Particle,can't,The engineer can read the manual.,The engineer can't read the manual.
4907,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people completed the survey.,Merely the technician completed the survey.
4908,Prepositional negation,Lexical negation,minus,The transaction has a confirmation.,The transaction is minus a confirmation.
4909,Correlative negation,Negative quantifiers,neither...nor,Both the fox and the wolf are trained.,Neither the fox nor the wolf is trained.
4910,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody approved the budget in the report.,Nobody approved the budget in the report.
4911,Negative imperatives,Clausal / discourse,no + gerund,Crossing the line during the tour is allowed.,No crossing the line during the tour.
4912,Prepositional negation,Lexical negation,minus,The building has air conditioning.,The building is minus air conditioning.
4913,Approximate negators,Scalar / restrictive,seldom,The patients often like the proposal.,The patients seldom like the proposal.
4914,Copula,Particle,isn't,The company is expensive.,The company isn't expensive.
4915,Partial negation,Negative quantifiers,not every,Every policy is tested.,Not every policy is tested.
4916,Prepositional negation,Lexical negation,devoid of,The apartment has insulation.,The apartment is devoid of insulation.
4917,Copula,Particle,isn't,The argument is consistent.,The argument isn't consistent.
4918,Conditional negation,Clausal / discourse,unless,"If you renew the license, I will call the police.","Unless you renew the license, I will call the police."
4919,Modals,Particle,can't,The teachers can like the proposal.,The teachers can't like the proposal.
4920,Neg-raising,Clausal / discourse,don't think,I think that the review is positive.,I don't think the review is positive.
4921,Neg-raising,Clausal / discourse,doesn't suppose,He supposes that the results will improve.,He doesn't suppose the results will improve.
4922,Exceptors,Negative quantifiers,other than,Every guest is present.,Every guest is present other than the junior analyst.
4923,Correlative negation,Negative quantifiers,neither...nor,Both the president and the vice president are prepared.,Neither the president nor the vice president is prepared.
4924,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The camera is clean.,"The camera is not clean, the camera is spotless."
4925,Inherent negative verbs/adjectives,Lexical negation,lost,The scientists preserved the data.,The scientists lost the data.
4926,Partial negation,Negative quantifiers,not every,Every witness is experienced.,Not every witness is experienced.
4927,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The doctor still plays tennis.,The doctor has ceased playing tennis.
4928,Modals,Particle,mustn't,The nurses must follow the instructions.,The nurses mustn't follow the instructions.
4929,Approximate negators,Scalar / restrictive,rarely,The drivers often recognize the symptoms.,The drivers rarely recognize the symptoms.
4930,Double negation / negative concord,Double negation,not inappropriate,The memo is appropriate.,The memo is not inappropriate.
4931,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people completed the survey.,The observer alone completed the survey.
4932,Sentential negative quantifiers,Negative quantifiers,none,Some of the contestants attended the session.,None of the contestants attended the session.
4933,Neg-raising,Clausal / discourse,don't suppose,We suppose that the deadline will move.,We don't suppose the deadline will move.
4934,Negative imperatives,Clausal / discourse,don't,Please remove the label near the equipment.,Don't remove the label near the equipment.
4935,Correlative negation,Negative quantifiers,neither...nor,Both the server and the database are functional.,Neither the server nor the database is functional.
4936,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The technician is weak.,"The technician is not weak, the technician is frail."
4937,Negative imperatives,Clausal / discourse,don't,Please access this area near the entrance.,Don't access this area near the entrance.
4938,Negative imperatives,Clausal / discourse,don't,Please copy the file to a personal drive.,Don't copy the file to a personal drive.
4939,Affixial negation,Affixial,insecure,The parking lot is secure.,The parking lot is insecure.
4940,Approximate negators,Scalar / restrictive,little,Considerable information was collected.,Little information was collected.
4941,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people met the requirements.,Merely the supervisor met the requirements.
4942,Modals,Particle,would not,The athletes would accept the offer.,The athletes would not accept the offer.
4943,Partial negation,Negative quantifiers,not every,Every memo is operational.,Not every memo is operational.
4944,Modals,Particle,cannot,The tourist can accept the offer.,The tourist cannot accept the offer.
4945,Negative imperatives,Clausal / discourse,don't,Please delete the record on the premises.,Don't delete the record on the premises.
4946,Inherent negative verbs/adjectives,Lexical negation,refused,The startup accepted the request.,The startup refused the request.
4947,Prepositional negation,Lexical negation,minus,The report has supporting data.,The report is minus supporting data.
4948,Affixial negation,Affixial,incapable,The customers are capable.,The customers are incapable.
